번호,국가_정리,발명명칭,분류,출원인,출원인그룹,출원일자,출원연도,출원월,등록일자,등록연도,출원등록일수차,등록기간범주,청구항개수,청구항범주,IPC,IPC대분류,IPC코드수,CPC,CPC코드수,기술영역,요약,요약길이,복잡도점수,국제공개번호,출원번호
680,WO,OPTIMISATION OF OPTICAL FIELD CURVATURE USING FRESNEL LENS IN VR DISPLAY,A1,GOOGLE LLC,Google,2016-12-16,2016,12,,,,미등록(A1 등),17,16~30항,G02B3/04|G02B3/08|G02B27/01|G02B13/18,"['G02B', 'G02B', 'G02B', 'G02B']",4,G02B13/18|G02B3/04|G02B3/08|G02B27/0025|G02B27/0172|G02B2027/0132|G02B5/045,7,['광학부품(Optics)'],"A lens assembly (106) has two opposing surfaces (110, 112), each surface introducing field curvature in a direction opposite of the field curvature introduced by the opposing surface, and thus the field curvatures introduced by the two surfaces at least partially cancel each other out, resulting in a net field curvature that provides for a substantially flat image plane or for an image plane with a specified curvature. The lens assembly may be implemented as a lens with two opposing Fresnel surfaces so that the field curvature in one direction introduced by one of the Fresnel surfaces is at least partially canceled out by the field curvature in the opposite direction as introduced by an opposing Fresnel surface. Alternatively, the lens assembly may be implemented as a lens (706) with a positive continuous aspheric surface (712) facing the user's eye and an opposing Fresnel surface (710) facing a display panel (102).",929,7.3,WO2017200576,PCT/US2016/067141
681,US,ROM instruction authentication and integrity verification for artificial reality security controller,B1,"Meta Platforms Technologies, LLC",Meta Platforms,2021-01-07,2021,1,2025-01-14,2025,1468,3~5년,1,1~5항,H04L9/32|G06F1/16|G06F3/14|G06F21/52|G06F21/64,"['H04L', 'G06F', 'G06F', 'G06F', 'G06F']",5,H04L9/3226|G06F3/14|G06F1/163|G06F21/52|G06F21/64|G06F2221/033|H04L9/3247,7,['컴퓨팅/인터페이스(Computing)'],"Systems, methods, and devices authenticate processor instructions stored by a read-only memory (ROM). In one example, a ROM stores a block of register words. The block of register words includes a first register word specifying an authentication tag and one or more register words that each specify an instruction. A security controller identifies the first register word as specifying the authentication tag and performs authentication of the authentication tag. Upon successfully authenticating the authentication tag, the security controller forwards the register words that each specify instructions to a processor for execution. Upon unsuccessfully authenticating the authentication tag, the security controller blocks the register words that each specify instructions from execution by the processor.",806,5.2,,17248066
682,US,"Apparatus, system, and method for detecting user input via hand gestures and arm movements",B2,"Meta Platforms Technologies, LLC",Meta Platforms,2023-04-26,2023,4,2025-01-28,2025,643,1~2년,1,1~5항,G06F3/01|G02B27/00|G06V40/10,"['G06F', 'G02B', 'G06V']",3,G06F3/011|G06F3/015|G06F3/014|G06F3/016|G06F3/017|G06V40/11|G02B27/0093,7,"['AI/비전(AI)', '광학부품(Optics)', '컴퓨팅/인터페이스(Computing)']","An artificial-reality system comprising (1) a wearable dimensioned to be donned on a body part of a user, wherein the wearable comprises (A) a set of electrodes that detect one or more neuromuscular signals via the body part of the user and (B) a transmitter that transmits an electromagnetic signal, (2) a head-mounted display communicatively coupled to the wearable, wherein the head-mounted display comprises a set of receivers that receive the electromagnetic signal, and (3) one or more processing devices that (1) determine, based at least in part on the neuromuscular signals, that the user has made a specific gesture and (2) determine, based at least in part on the electromagnetic signal, a position of the body part of the user when the user made the specific gesture. Various other apparatuses, systems, and methods are also disclosed.",847,4.2,,18307133
683,US,BACKLIGHT UNIT FOR NEAR EYE DISPLAYS WITH CORNER PLACEMENT OF LIGHT EMITTING DIODES,A1,"Meta Platforms Technologies, LLC",Meta Platforms,2023-03-13,2023,3,,,,미등록(A1 등),1,1~5항,G02B27/01,['G02B'],1,G02B2027/011|G02B27/0172|G02B2027/0118|G02B2027/0178|G02B6/002|G02B6/0068|G02B6/0083|G02B6/009,8,['광학부품(Optics)'],"A display device improves illumination uniformity and form factor for a backlight unit (BLU). The display device includes a display area having pixels and a BLU at a back side of the display area. The BLU is configured to direct light to the pixels. The BLU includes a diffusion plate with a top side, a bottom side, and a right side connecting the top side and the bottom side, and a left side at an opposite side of the right side and connecting the top side and the bottom side. The BLU includes light sources located at one or more of the left and right sides of the diffusion plate to emit light into the diffusion plate. The left and right sides may include slanted portions connecting center portions of the left and right sides to the top and bottom sides. Light sources may be located at the slanted portions.",818,3.5,,18120860
684,US,Adjustable strap system and related devices and methods,B1,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2020-11-04,2020,11,2024-08-20,2024,1385,3~5년,1,1~5항,A42B3/14|A44C5/00|F16D51/46|F16M13/04|G02B27/01,"['A42B', 'A44C', 'F16D', 'F16M', 'G02B']",5,F16D51/46|A44C5/0053|G02B27/0176|G02B2027/0178|F16M13/04,5,"['바이오/웨어러블(Bio)', '광학부품(Optics)']","The disclosed strap adjustment device may include a pinion gear secured to an adjustment knob, a first rack secured to a first strap and engaged with the pinion gear, a second rack secured to a second strap and engaged with the pinion gear, a braking element disposed adjacent to an inner surface of a drum, a brake engagement element configured to press the at least one braking element toward the inner surface of the drum to maintain a length of the first strap and the second strap by engagement of the braking element against the inner surface of the drum, and a spiral spring configured to allow for an increase in a length of the first strap and the second strap when a tension force is applied to at least one of the first strap or the second strap.",757,4.4,,17088616
685,WO,ACTIVE MODULATION OF THE REFRACTIVE INDEX IN PHOTONIC INTEGRATED CIRCUITS VIA CHARGE INJECTION,A2,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2022-12-14,2022,12,,,,미등록(A1 등),15,6~15항,G02F1/061,['G02F'],1,G02F1/061|G02F2201/12|G02F1/0316|G02B27/017,4,['디스플레이(Display)'],"A photonic integrated circuit (PIC) includes an organic solid crystal (OSC) material layer, the OSC material layer having a substrate portion and a raised optical element integral with and extending from the substrate portion. The raised optical element may include a passive or active component of the photonic integrated circuit.",331,4.4,WO2023191862,PCT/US2022/052827
686,US,Systems and methods for generating dynamic obstacle collision warnings for head-mounted displays,B2,"Meta Platforms Technologies, LLC",Meta Platforms,2019-05-20,2019,5,2022-10-18,2022,1247,3~5년,1,1~5항,G06F3/01|G02B27/00|G02B27/01|G06F9/54,"['G06F', 'G02B', 'G02B', 'G06F']",4,G06F3/011|G06F3/012|G02B27/0093|G02B27/0172|G06F3/013|G06F3/017|G06F9/542|G02B2027/0138,8,"['광학부품(Optics)', '컴퓨팅/인터페이스(Computing)']","A system includes one or more sensors configured to detect first motion data of a head mounted display (HMD) and second motion data of a hand device associated with the HMD. The system includes processing circuitry configured to identify one or more obstacles in an environment around the HMD. The processing circuitry is configured to provide, using the HMD, display data representing a warning regarding potential collision with the one or more obstacles in response to at least one of the first motion data or the second motion data and a distance between the HMD and the one or more obstacles or the hand device and the one or more obstacles.",646,5,,16417299
687,US,SENSING ACTIVATION MAPS FROM EYE DATA,A1,"Meta Platforms Technologies, LLC",Meta Platforms,2024-09-17,2024,9,,,,미등록(A1 등),1,1~5항,G06F3/01|G06T19/00,"['G06F', 'G06T']",2,G06F3/013|G06T19/006,2,"['영상처리(Image)', '컴퓨팅/인터페이스(Computing)']",Eye gaze data is generated by an eye-tracking module. One or more activation maps are generated by a sensing module based on the eye gaze data. The sensing module acquires sensor data based on the one or more activation maps.,225,1.9,,18887042
688,US,Identifying a position of a controllable device using a wearable device,B2,Google LLC,Google,2020-11-16,2020,11,2025-06-17,2025,1674,3~5년,1,1~5항,G06T7/73|G06F3/04815|G06F3/0484|G06T15/00|G06V20/20,"['G06T', 'G06F', 'G06F', 'G06T', 'G06V']",5,G06F3/011|G02B27/0172|G02B2027/0138|G02B2027/014|G06F1/163|G06F3/048|G06Q50/10|G06T7/74|G06V20/20|G06F3/04815|G06F3/0484|G06T15/00|G06T2200/24,13,"['AI/비전(AI)', '영상처리(Image)', '컴퓨팅/인터페이스(Computing)']","According to an aspect, a method of identifying a position of a controllable device includes receiving visual data from an image sensor on a wearable device, generating, by an object recognition module, identification data based on the visual data, and identifying, using the identification data, a first three-dimensional (3D) map from a map database that stores a plurality of 3D maps including the first 3D map and a second 3D map, where the first 3D map is associated with a first controllable device and the second 3D map is associated with a second controllable device. The method includes obtaining a position of the first controllable device in a physical space based on visual positioning data of the first 3D map and rendering a user interface (UI) object on a display in a position that is within a threshold distance of the position of the first controllable device.",878,7.3,WO2022103420,18246464
689,US,Earbuds coupled to smart glasses,B2,Google LLC,Google,2023-04-27,2023,4,2026-01-20,2026,999,2~3년,1,1~5항,G02C11/00|G02B27/01|H04R1/10,"['G02C', 'G02B', 'H04R']",3,G02B27/0176|G02B2027/0178|H04R1/1041|G02C11/06|H04R1/1025|H04R1/1016|H04R2460/13|G02C2200/02|G02C11/10|H04R5/033|H04R2499/15|H04R2460/07|H04R2420/07|H04R2420/09,14,"['영상/음향전송(AV)', '광학부품(Optics)', '착용형광학(Wearable)']","A method includes removably attaching an earbud to a pair of glasses worn by a person. The pair of glasses includes a first speaker configured to deliver sound externally through air or through bone conduction to an ear of the person. The earbud includes a second speaker configured to deliver sound into an ear canal of the person when the earbud is placed in the ear canal. The method further includes establishing a wireless connection between the pair of glasses and the earbud, and detecting a position of the earbud relative to the pair of glasses. The method further includes, when the earbud is detached from the pair of glasses, deactivating the first speaker in the pair of glasses, and activating the second speaker after the earbud is detached from the pair of glasses.",781,6.7,,18308488
