번호,국가_정리,발명명칭,분류,출원인,출원인그룹,출원일자,출원연도,출원월,등록일자,등록연도,출원등록일수차,등록기간범주,청구항개수,청구항범주,IPC,IPC대분류,IPC코드수,CPC,CPC코드수,기술영역,요약,요약길이,복잡도점수,국제공개번호,출원번호
1,EP,SYSTEMS AND METHODS FOR ASSEMBLING A HEAD-MOUNTED DISPLAY,B1,"Meta Platforms Technologies, LLC",Meta Platforms,2023-08-29,2023,8,2026-03-18,2026,932,2~3년,2,1~5항,G02B27/01|G02B27/62,"['G02B', 'G02B']",2,G02B27/62|G02B27/0176|G02B2027/0178|H04N13/344|G02B7/003|G02B27/0172|G02C13/00|H04N9/3164,8,['광학부품(Optics)'],"Methods of assembling a head-mounted display (HMD) may include coupling a first digital projector assembly to an HMD frame, coupling a second digital projector assembly to the HMD frame, and then warping the HMD frame to optically align the first digital projector assembly with the second digital projector assembly. The warped HMD frame may be fixed such that the first digital projector assembly and the second digital projector assembly are optically aligned to within a predetermined threshold. Various other methods and systems are also disclosed.",553,4.2,,23194044.6
2,US,"Methods, Apparatuses And Computer Program Products For Providing Multi-Functional Optical Modules With Micro-Light Emitting Diodes As Eye Tracking Illumination Sources",A1,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2023-04-25,2023,4,,,,미등록(A1 등),1,1~5항,G06F3/01|G06T19/00,"['G06F', 'G06T']",2,G02B6/0011|G02B27/0093|G02B27/0172|G02B2027/0178|H05K1/0274|H05K1/0313|H05K1/189|H05K3/323|H05K2201/0145|H05K2201/0154|H05K2201/10106|G06F3/013|G06F3/011|G06T19/006,14,"['영상처리(Image)', '컴퓨팅/인터페이스(Computing)']","Systems, methods, and devices for eye tracking are provided. A device may include a multi-functional optical module including a plurality of optical lens layers. The device may include a layer, among the plurality of optical lens layers, including a patterned substrate including a plurality of light emitting diodes in a field of view of the layer and a plurality of wires configured to connect to a printed circuit board assembly. The light emitting diodes in the field of view may be configured to illuminate light directed to at least one eye of a user to cause at least one reflection of the at least one eye.",614,6.2,,18306955
3,US,"SYSTEMS, METHODS, AND DEVICES FOR REDUCING LIGHT BLEED TRANSMITTED THROUGH A MATERIAL",A1,"Meta Platforms Technologies, LLC",Meta Platforms,2025-08-15,2025,8,,,,미등록(A1 등),1,1~5항,G02B1/10|G02B1/04|G02B6/42|G02B27/01,"['G02B', 'G02B', 'G02B', 'G02B']",4,G02B2027/0178|G02B27/0172|G02B1/10|G02B6/4298|G02B1/045|G02B6/4203,6,['광학부품(Optics)'],"The present disclosure is directed to providing an optical device. The optical device includes a semi-transparent frame. The semi-transparent frame includes a light source configured to display a status of the optical device. Moreover, the semi-transparent frame includes a light guide configured to transmit light from the light source to an exterior surface of the semi-transparent frame. The semi-transparent frame further includes a coating adhered to the light guide and configured to limit leakage of the light to the semi-transparent frame such that only the light guide is illuminated. The coating is a type selected from a group of a low volatile organic compound coating, a non-conductive vacuum metallizing coating, and an organic water-based coating.",762,4.3,,19301832
4,US,METHODS TO ENFORCE CALIBRATION VIA WEARABLE RECHARGING,A1,GOOGLE LLC,Google,2024-02-06,2024,2,,,,미등록(A1 등),1,1~5항,G06T7/00|G01C9/06|G01C25/00|G02B27/01|G06F3/01|G09G3/00|H04N17/00,"['G06T', 'G01C', 'G01C', 'G02B', 'G06F', 'G09G', 'H04N']",7,G09G2320/043|G09G2320/0693|G02B27/0172|G02B2027/0138|H04N17/002|G02B2027/0178|G02B2027/011|G09G3/001|G06F3/013|G01C25/00|G06T7/80|G06T7/0002|G01C9/06|G01C2009/066|G06T2207/30168,15,"['디스플레이(Display)', '컴퓨팅/인터페이스(Computing)', '영상/음향전송(AV)', '광학부품(Optics)', '영상처리(Image)']","A deformation detection device detects deformation of a display system, such as a head-mounted display (HMD). The deformation detection device employs one or more sensors configured to detect one or more variations in positional and angular relationships of sensors, displays, and/or other components of the HMD to determine deviations from an original configuration of the HMD. The deformation detection device stores the variations in the positional and angular relationships for subsequent use during a re-calibration process that restores the viewing experience on the HMD.",577,9,,18434361
5,WO,DETERMINATION OF CRANIOFACIAL GESTURES OF A WEARER OF AN ON-HEAD WEARABLE,A1,GOOGLE LLC,Google,2025-01-13,2025,1,,,,미등록(A1 등),17,16~30항,G06F3/01,['G06F'],1,,0,['컴퓨팅/인터페이스(Computing)'],"Techniques and apparatuses are described that perform a determination of craniofacial gestures of a wearer of an on-head wearable. In an example aspect, an intelligent personal assistant device 110 can proactively engage with users based on their craniofacial gestures detected through an on-head wearable device 108, such as earbuds. Using various sensors, the wearable device monitors combinations of head position and facial expressions to anticipate when the wearer might need assistance. The wearable device's sensors monitor head and facial positions and movements, and when they detect a gesture that matches one associated with assistant engagement, they notify the intelligent personal assistant 110 to interact with the wearer. This system allows the assistant to initiate contact at potentially helpful moments rather than waiting for direct commands. Additionally, various craniofacial gestures can trigger various other actions through the device.",960,3.3,WO2026147524,PCT/US2025/011394
6,US,Wafer-level lens assembly including voids,B1,"Meta Platforms Technologies, LLC",Meta Platforms,2021-05-18,2021,5,2025-06-24,2025,1498,3~5년,1,1~5항,G02B7/02|B29D11/00|G02B27/00|G06F3/01|G02B3/00|G02B3/02,"['G02B', 'B29D', 'G02B', 'G06F', 'G02B', 'G02B']",6,B29D11/00317|G02B27/0093|G02B3/02|G06F3/013|B29D11/00278|G02B2003/0093|G02B7/028|B29D11/00365|G02B27/0172,9,"['광학부품(Optics)', '컴퓨팅/인터페이스(Computing)']","An apparatus, system, and method for a lens assembly having corner voids. The lens assembly may include a rectangle glass layer including four corners and a plastic layer including an optical element. In some examples, the plastic layer includes four corner voids aligned over the four corners of the rectangle glass layer.",323,6.4,,17323556
7,US,"Methods, Apparatuses And Computer Program Products For Providing An Eye Tracking System Based On Flexible Around The Lens Or Frame Illumination Sources",A1,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2023-04-25,2023,4,,,,미등록(A1 등),1,1~5항,G02B27/01,['G02B'],1,G02B27/0093|G02B27/0172|G02B2027/0178|H05K1/0274|H05K1/0313|H05K1/189|H05K3/323|H05K2201/0145|H05K2201/0154|H05K2201/10106|G02B2027/0138|G02B2027/014|G02B2027/0187,13,['광학부품(Optics)'],"Systems, methods, and devices for eye tracking are provided. A device may include at least one printed circuit board including a shape around a lens of the device. The device may also include a plurality of light emitting diodes arranged around the shape of the lens. The plurality of light emitting diodes may be configured to connect to the at least one printed circuit board. The plurality of light emitting diodes may also be configured to illuminate light directed to at least one eye of a user to cause at least one reflection of the at least one eye.",557,5.3,,18306937
8,US,Systems and methods for assembling a head-mounted display,B2,"Meta Platforms Technologies, LLC",Meta Platforms,2023-08-04,2023,8,2025-01-28,2025,543,1~2년,1,1~5항,G02C13/00|G02B27/01,"['G02C', 'G02B']",2,G02B27/62|G02B27/0176|G02B2027/0178|H04N13/344|G02B7/003|G02B27/0172|G02C13/00|H04N9/3164,8,"['광학부품(Optics)', '착용형광학(Wearable)']","Methods of assembling a head-mounted display (HMD) may include coupling a first digital projector assembly to an HMD frame, coupling a second digital projector assembly to the HMD frame, and then warping the HMD frame to optically align the first digital projector assembly with the second digital projector assembly. The warped HMD frame may be fixed such that the first digital projector assembly and the second digital projector assembly are optically aligned to within a predetermined threshold. Various other methods and systems are also disclosed.",553,4,,18365731
9,US,List navigation with eye tracking,B2,Google LLC,Google,2023-06-23,2023,6,2024-08-13,2024,417,1~2년,1,1~5항,G06F3/0482|G06F3/01|G06F3/04842|G06F3/0485|G06F3/04886,"['G06F', 'G06F', 'G06F', 'G06F', 'G06F']",5,G06F3/0485|G06F3/04842|G06F3/013|G06F3/04886|G06F3/0482,5,['컴퓨팅/인터페이스(Computing)'],"Described techniques enable displaying a plurality of positions arranged around a central location on a display, the plurality of positions including at least one empty position and filled positions displaying a first subset of list elements, the filled positions including an adjacent position that is adjacent to the at least one empty position. Movement of a gaze point may be tracked, relative to the filled positions and around the central location towards the at least one empty position. The at least one empty position may be filled with a list element of the list elements, and the adjacent position may be emptied to thereby display a second subset of the list elements.",680,4.4,,18340612
10,WO,MINIATURE FRINGE PROJECTORS AND METHOD FOR DEPTH SENSING,A1,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2023-03-14,2023,3,,,,미등록(A1 등),15,6~15항,G01B11/25|F21V8/00|G02B27/01,"['G01B', 'F21V', 'G02B']",3,G01B11/2513|G01B11/2536|G02B27/0172|G02B6/0033|G02B6/005|G06V2201/12|G06V40/18|G02B6/12004|G02B27/0093|G02B27/017|G02B2006/12038|G02B2006/1204|G02B2006/12061|G02B2027/0178|H01S5/18305|H01S5/4031,16,['광학부품(Optics)'],"An optical system is configured to support eye tracking operations in a head mounted device. The optical system includes a transparent layer, a laser, and first and second output couplers. The laser is configured to emit light into the transparent layer. The first output coupler is configured to out-couple a first portion of the light from a first location of the transparent layer. The second output coupler is configured to out-couple a second portion of the light from a second location of the transparent layer. The first and second output couplers are in the field-of-view of a user. A combination of the first portion of the light and the second portion of the light out-coupled from the first output coupler and the second output coupler is configured to generate a fringe pattern, for example, on an eye of a user of the head mounted device.",851,9.7,WO2023177672,PCT/US2023/015198
11,US,FRINGE PROJECTOR FOR DEPTH SENSING,A1,"Meta Platforms Technologies, LLC",Meta Platforms,2022-12-23,2022,12,,,,미등록(A1 등),1,1~5항,G01B11/25|G02B6/12|G02B27/00|G02B27/01|G06V40/18|H01S5/183|H01S5/40,"['G01B', 'G02B', 'G02B', 'G02B', 'G06V', 'H01S', 'H01S']",7,G01B11/2513|G01B11/2536|G02B27/0172|G02B6/0033|G02B6/005|G06V2201/12|G06V40/18|G02B6/12004|G02B27/0093|G02B27/017|G02B2006/12038|G02B2006/1204|G02B2006/12061|G02B2027/0178|H01S5/18305|H01S5/4031,16,"['AI/비전(AI)', '광학부품(Optics)', '레이저/광원(Laser)']","An optical system is configured to support eye tracking operations in a head mounted device. The optical system includes a transparent layer, a laser, and first and second output couplers. The laser is configured to emit light into the transparent layer. The first output coupler is configured to out-couple a first portion of the light from a first location of the transparent layer. The second output coupler is configured to out-couple a second portion of the light from a second location of the transparent layer. The first and second output couplers are in the field-of-view of a user. A combination of the first portion of the light and the second portion of the light out-coupled from the first output coupler and the second output coupler is configured to generate a fringe pattern, for example, on an eye of a user of the head mounted device.",851,9.4,,18088302
12,WO,HIGH-THROUGHPUT TESTING AND MODULE INTEGRATION OF ROTATIONALLY VARIANT OPTICAL LENS SYSTEMS,A1,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2022-09-07,2022,9,,,,미등록(A1 등),15,6~15항,G01M11/02|G02B27/00,"['G01M', 'G02B']",2,G01M11/0292|G02B27/0025|G02B27/0172|G02B2027/0174|G02B27/0075|G01M11/0207|G01M11/0235|G01N21/958|G01N2021/9583,9,['광학부품(Optics)'],"A system and method for high-throughput testing and module integration of rotationally variant optical lens systems is provided. In some examples, the system may be a metrology system that includes a light source to generate optical illumination. The metrology system may also include a null element. The null element may generate, using the optical illumination from the light source, a prescribed wavefront corresponding to a unit under test (UUT). In addition, the metrology system may further include a null element fixture to position the null element with respect to the unit under test (UUT).",599,6.7,WO2023038951,PCT/US2022/042730
13,US,HIGH-THROUGHPUT TESTING AND MODULE INTEGRATION OF ROTATIONALLY VARIANT OPTICAL LENS SYSTEMS,A1,"Meta Platforms Technologies, LLC|Meta Platforms Technologies, LLC",Meta Platforms,2021-09-09,2021,9,,,,미등록(A1 등),1,1~5항,G01M11/02|G01N21/958,"['G01M', 'G01N']",2,G01M11/0292|G02B27/0025|G02B27/0172|G02B2027/0174|G02B27/0075|G01M11/0207|G01M11/0235|G01N21/958|G01N2021/9583,9,['기타(Other)'],"A system and method for high-throughput testing and module integration of rotationally variant optical lens systems is provided. In some examples, the system may be a metrology system that includes a light source to generate optical illumination. The metrology system may also include a null element. The null element may generate, using the optical illumination from the light source, a prescribed wavefront corresponding to a unit under test (UUT). In addition, the metrology system may further include a null element fixture to position the null element with respect to the unit under test (UUT).",599,4.4,,17470952
14,WO,EYE IMAGE STABILIZED AUGMENTED REALITY DISPLAYS,A1,GOOGLE LLC,Google,2022-11-15,2022,11,,,,미등록(A1 등),21,16~30항,G06F3/01,['G06F'],1,G06F3/011|G06F3/012|G02B27/0093|G02B27/017|G02B27/0179|G02B2027/0178|G02B2027/0187|G06T19/006,8,['컴퓨팅/인터페이스(Computing)'],"A method includes projecting an augmented reality (AR) user interface (UI) at a first position on a surface of a head-mounted display (HMD) device through which a view of a real-world scene is seen by a viewer, and detecting a motion of the HMD device corresponding to a head motion of the viewer. The method further includes, in response to the motion of the HMD device, moving the projected AR UI across the surface of the HMD device to a second position, the movement of the projected AR UI spatially and or temporally lagging the head motion.",546,6.9,WO2023107806,PCT/US2022/079892
15,WO,OBJECT TRACKING USING A HEAD-MOUNTED DISPLAY,A1,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2025-06-24,2025,6,,,,미등록(A1 등),15,6~15항,G02B27/01|G06F3/01|G06N3/02|G06T7/00|G06T19/00|G06F3/0346|G06N3/08,"['G02B', 'G06F', 'G06N', 'G06T', 'G06T', 'G06F', 'G06N']",7,G06F3/011|G06V20/20|G06F3/0346|G06F3/017|G02B27/017|G06N3/02|G06N3/08|G06T2207/20081|G06T2207/20084|G06T7/70|G06V10/774|G06T7/13|G06V20/70|G06V10/54|G06V10/44|G06T7/20,16,"['AI/비전(AI)', '광학부품(Optics)', '영상처리(Image)', '컴퓨팅/인터페이스(Computing)']","As disclosed herein, a computer-implemented method for object tracking is provided. The computer-implemented method may include capturing, by a first client device, an image of a second client device. The computer-implemented method may include determining, by a sensor associated with the second client device, a position of the second client device within a physical space surrounding the first and the second client devices. The computer-implemented method may include labeling the image of the second client device with the position of the second client device. The computer-implemented method may include adding the image to a training dataset. The computer-implemented method may include training, based on the training dataset, a model configured to determine an object position within a field of view of the first client device. A system and a non-transitory computer-readable storage medium are also disclosed.",919,11.7,WO2026089781,PCT/US2025/035075
16,WO,"TECHNIQUES FOR SWITCHING BETWEEN GAZE AND COMPUTER-VISION TARGETING MODALITIES FOR EXTENDED-REALITY (XR) SYSTEMS, AND SYSTEMS AND METHODS OF USE THEREOF",A1,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2026-02-13,2026,2,,,,미등록(A1 등),15,6~15항,G06F3/04842|G06F3/01|G06T19/00,"['G06F', 'G06F', 'G06T']",3,,0,"['영상처리(Image)', '컴퓨팅/인터페이스(Computing)']","A method for automatic switching between gaze tracking and hand tracking is described. The method occurs while an extended-reality (XR) headset is worn by a user. The method includes obtaining gaze data captured at the XR headset. The method further includes determining, based on the gaze data, a first point of focus within an XR interface presented at a display of the XR headset. The method further includes, in accordance with a determination that the gaze data does not satisfy a gaze-quality threshold: (i) obtaining image data captured at the XR headset indicating a projected-point position of a hand of the user within the XR interface, and (ii) determining, based on the image data and the projected-point position, a second point of focus within the XR interface presented by the display of the XR headset.",818,4,WO2026126188,PCT/IB2026/051428
17,WO,A MULTI-USE FLEXIBLE CIRCUIT FOR AN AUGMENTED-REALITY HEADSET,A1,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2025-12-02,2025,12,,,,미등록(A1 등),15,6~15항,G02C11/00|G02B27/01|H05K1/189|G02C5/02,"['G02C', 'G02B', 'H05K', 'G02C']",4,,0,"['전자부품(Electronics)', '광학부품(Optics)', '착용형광학(Wearable)']","A flex circuit of an augmented-reality headset is described. A shape of the flex circuit allows for placement of the flex circuit at a nose-bridge region of the augmented-reality headset. The flex circuit includes an image sensor that provides image data related to disparity between a first display and a second display of the augmented-reality headset, and circuitry used for charging a battery of the augmented-reality headset. The circuitry includes battery charging terminals that are located at the nose-bridge region of the augmented-reality headset.",557,4.5,WO2026122582,PCT/US2025/057747
18,WO,WAVEGUIDE CONFIGURATIONS IN A HEAD-MOUNTED DISPLAY (HMD) FOR IMPROVED FIELD OF VIEW (FOV),A1,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2022-04-27,2022,4,,,,미등록(A1 등),15,6~15항,G02B27/00|G02B27/01,"['G02B', 'G02B']",2,G02B27/0081|G02B27/0172,2,['광학부품(Optics)'],"A head-mounted display (HMD) for improved field of view (FOV) is provided. The head-mounted display (HMD) may include a display element to provide display light. The head-mounted display (HMD) may also include a lens element to provide display light to a user of the head-mounted display (HMD). The head-mounted display (HMD) may further include an optical element comprising at least one waveguide to provide improved central or peripheral field of view (FOV) for the user of head-mounted display (HMD). In some examples, the waveguide may be part of central optics and/or peripheral optics. The waveguide may have a planar waveguide profile or a curved waveguide profile. In some examples, the waveguide may be stacked or may include a graded index (GRIN) layer.",764,4.2,WO2022232236,PCT/US2022/026490
19,WO,POLARIZATION-BASED EYE TRACKING FOR EXTENDED REALITY WEARABLE SYSTEMS AND DEVICES,A1,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2025-12-03,2025,12,,,,미등록(A1 등),15,6~15항,G02B5/30|G02B27/00|G02B27/01|G02B27/28,"['G02B', 'G02B', 'G02B', 'G02B']",4,,0,['광학부품(Optics)'],"A head-mounted display system that includes a wearable frame, a lens, one or more display engines, and a polarization-sensitive eye-tracking system is described. The wearable frame includes a first nasal region and a first temporal region. The first lens is mounted in the wearable frame. The first lens defines a first optical axis. The one or more display engines and the eye-tracking system are located on the wearable frame and communicatively coupled to one another. The eye-tracking system includes a first polarization-sensitive camera located in the first nasal region of the wearable frame and a second polarization-sensitive camera located in the first temporal region of the wearable frame.",701,4.5,WO2026122731,PCT/US2025/057999
20,WO,ENTENDUE SQUEEZING IN OPTICAL SYSTEMS,A1,GOOGLE LLC,Google,2022-09-15,2022,9,,,,미등록(A1 등),15,6~15항,F21V8/00|G02B27/01,"['F21V', 'G02B']",2,G02B27/0172|G02B2027/0178|G02B27/0081|G02B5/3058,4,['광학부품(Optics)'],"Embodiments disclosed variously address the etendue limit on incoupling, e.g., in an augmented or mixed reality display waveguide combiner, by trading polarization state purity for reduced space-bandwidth product using a combination of optical elements, thereby improving system efficiency, reducing power constraints, and thus enabling longer battery life and/or smaller battery size. Efficiency of optical systems such as head mounted display devices can thus be increased to allow for lighter weight devices and/or devices that require fewer charges between uses.",566,4.9,WO2024058778,PCT/US2022/043583
21,WO,WAVEGUIDE WITH ANTI-REFLECTION PROPERTIES,A1,GOOGLE LLC,Google,2022-06-30,2022,6,,,,미등록(A1 등),24,16~30항,G02B5/18|G02B27/00|G02B27/01,"['G02B', 'G02B', 'G02B']",3,G02B27/0172|G02B27/0176|G02B27/0081|G02B5/1842|G02B5/1819|G02B5/1809|G02B2027/0178|G02B6/124,8,['광학부품(Optics)'],"A head-mounted display system (100) includes a lens element (110) supported by a support structure (102). The lens element (110) includes a waveguide (212) to couple light from an image source. The waveguide (212) includes a waveguide surface (207) and a grating (250). The grating (250) is disposed onto the waveguide surface (207) and includes rows of three-dimensional, 3D, primitive structures (435), with a height of the 3D primitive structures being smaller than a wavelength of visible incident light at a surface of the sub-wavelength grating.",551,8.4,WO2023278791,PCT/US2022/035852
22,WO,USER INTERFACE TO SELECT FIELD OF VIEW OF A CAMERA IN SMART GLASSES,A1,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2022-07-29,2022,7,,,,미등록(A1 등),15,6~15항,G06F3/01|G02B27/00|G02B27/01|G06F3/0484,"['G06F', 'G02B', 'G02B', 'G06F']",4,G06F3/013|G06F3/011|G02B2027/0178|G06F3/0484|G02B27/0172|G02B2027/0138|G02B2027/014|G02B2027/0141|G06F1/163|G06F1/1686|G06F3/017|G06F3/04842,12,"['광학부품(Optics)', '컴퓨팅/인터페이스(Computing)']","A wearable device for use in immersive reality applications is provided. The wearable device has a frame including an eyepiece to provide a forward-image to a user, a first forward-looking camera mounted on the frame, the first forward-looking camera having a field of view within the forward-image, a sensor configured to receive a command from the user, the command indicative of a region of interest within the field of view, and an interface device to indicate to the user that a field of view of the first forward-looking camera is aligned with the region of interest. Methods of use of the device, a memory storing instructions and a processor to execute the instructions to cause the device to perform the methods of use, are also provided.",747,8.8,WO2023009806,PCT/US2022/038849
23,WO,SYSTEMS AND METHODS FOR PROTECTING BATTERIES,A1,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2022-09-24,2022,9,,,,미등록(A1 등),15,6~15항,H02J7/34|H02J7/00,"['H02J', 'H02J']",2,H02J7/342|H02J7/60|H02J7/80|H04R1/1016|H04R1/1025|H01M2220/30|H01M10/44|H02J7/61|H02J7/65|H02J7/90|H02J7/825,11,['배터리/전력(Battery)'],"The disclosed computer-implemented method may include (i) detecting a battery condition of a wearable battery-operated device that indicates a threat to a battery's health and (ii) in response to detecting the battery condition, performing a battery-protection action by initiating a reverse power flow across a bidirectional connection from the wearable battery-operated device to a portable charging case that is designed to charge the wearable battery-operated device. Various other methods, systems, and computer-readable media are also disclosed.",551,7.4,WO2023055672,PCT/US2022/044633
24,WO,GAZE-BASED AUDIO BEAMFORMING,A1,GOOGLE LLC,Google,2022-11-17,2022,11,,,,미등록(A1 등),0,추출불가,G06F3/01|G06F3/16|H04R1/10,"['G06F', 'G06F', 'H04R']",3,G06F3/011|G06F3/012|G06F3/013|G06F3/165|H04R1/028|H04R1/406|H04R2201/401|G06T7/70|G06T19/006|H04S7/303|G02B27/017|G06T2207/30201|G02B2027/0178,13,"['영상/음향전송(AV)', '컴퓨팅/인터페이스(Computing)']","Beamforming can improve the audio quality and/or intensity in a particular direction, which can help a user hear, especially in certain environments. Augmented reality glasses can track the eye, or eyes, of a user which can trigger and guide the beamforming towards a particular object of interest, such as a person speaking. The beamforming may be made efficient by storing information necessary for beamforming in a database and recalling the information at runtime.",468,6.2,WO2023091996,PCT/US2022/080027
25,EP,SYSTEMS AND METHODS FOR ALIGNMENT OF OPTICAL COMPONENTS,A1,"Meta Platforms Technologies, LLC",Meta Platforms,2023-07-14,2023,7,,,,미등록(A1 등),0,추출불가,G02B7/00|G02B27/62|G02B27/01|G02B6/42|G02B27/32,"['G02B', 'G02B', 'G02B', 'G02B', 'G02B']",5,G02B27/0172|G02B27/32|G02B2027/0198|G02B6/4224|G02B27/62|G02B7/003|G06T7/73|G06T2207/30204,8,['광학부품(Optics)'],"Methods of assembling a head-mounted display may include supporting a head-mounted display frame, digitally adjusting an optical coordinate system of an optical sensor to align the optical coordinate system with a frame coordinate system of the head-mounted display frame. After the optical coordinate system is aligned with the frame coordinate system, a projector assembly may be moved to align a projected image with the optical coordinate system. The aligned projector assembly may then be secured to the head-mounted display frame. Various other methods and systems are also disclosed.",590,5.4,,23185642.8
26,EP,COMPENSATION FOR LIQUID CRYSTAL ON SILICON DISPLAYS,A1,"Meta Platforms Technologies, LLC",Meta Platforms,2025-06-30,2025,6,,,,미등록(A1 등),0,추출불가,G02F1/1362|G02F1/13363|G02B27/01,"['G02F', 'G02F', 'G02B']",3,G02B27/0172|G09G3/3607|G02F1/13362|G02F1/133607|G02B2027/0178|G02F1/136277|G02F1/13363|G02B2027/0118|G02B27/283|G02F1/13355|G02B2207/101|G09G3/003,12,"['디스플레이(Display)', '광학부품(Optics)']","A Liquid Crystal on Silicon (LCOS) system includes an illumination module, an LCOS, and an LCOS compensator. The illumination module is configured to generate illumination light. The LCOS is configured to receive the illumination light and modulate the illumination light into display light. The LCOS compensator may have a slow axis aligned to between -33 degrees and -77 degrees. The LCOS compensator is configured to receive the illumination light and the display light.",473,5.8,,25186156.3
27,WO,METHOD AND SYSTEM FOR CALIBRATING A WEARABLE HEADS-UP DISPLAY INCLUDING INTEGRATED PRESCRIPTION LENSES TO PRODUCE ALIGNED AND COLOR CORRECTED IMAGES,A1,GOOGLE LLC,Google,2022-05-17,2022,5,,,,미등록(A1 등),20,16~30항,G02B27/01,['G02B'],1,G02B27/0172|G02B2027/0138|G02B2027/0185|G02B7/08|G02B2027/0183,5,['광학부품(Optics)'],"A system and method of calibrating a head-mounted display (HMD) (100) by positioning an optical combiner (102) of the HMD into a holder (202) of a calibration station (200) such that the optical combiner is in a primary optical path of light provided from a micro-display (204) of the HMD and a camera (206) of the calibration station, adjusting a tunable correction unit (208) to correct defocus caused by a corrective prescription of the optical combiner, capturing images of a reference target (224) by the camera as viewed through the tunable correction unit and optical combiner, and generating a distortion model from the captured images and calibrating the HMD in order to apply the distortion model to images projected by the HMD.",738,5.6,WO2022245801,PCT/US2022/029597
28,EP,VOLUMETRIC DISPLAY INCLUDING LIQUID CRYSTAL-BASED LENSES,B1,"Meta Platforms Technologies, LLC",Meta Platforms,2020-09-06,2020,9,2026-05-06,2026,2068,5년 초과,0,추출불가,G02B27/01|G02B27/00|G02F1/01|G09G3/00|G09G3/20|H04N13/322|H04N13/395,"['G02B', 'G02B', 'G02F', 'G09G', 'G09G', 'H04N', 'H04N']",7,G02B27/0075|G02B27/0172|G02F1/0136|G09G3/003|G09G3/2022|H04N13/322|H04N13/332|H04N13/388|H04N13/395|H04N13/398|G02B2027/0127|G02B2027/0185,12,"['디스플레이(Display)', '광학부품(Optics)', '영상/음향전송(AV)']","A volumetric display may include a two-dimensional display; a varifocal optical system configured to receive image light from the two-dimensional display and focus the image light; and at least one processor configured to: control the two-dimensional display to cause a plurality of sub-frames associated with an image frame to be displayed by the display, wherein each sub-frame of the plurality of sub-frames includes a corresponding portion of image data associated with the image frame; and control the varifocal optical system to a corresponding focal state for each respective sub-frame.",593,7.8,WO2021061383,20775533.1
29,EP,WAVEGUIDE CONFIGURATIONS IN A HEAD-MOUNTED DISPLAY (HMD) FOR IMPROVED FIELD OF VIEW (FOV),B1,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2022-04-27,2022,4,2026-04-08,2026,1442,3~5년,0,추출불가,G02B27/00|G02B27/01,"['G02B', 'G02B']",2,G02B27/0081|G02B27/0172,2,['광학부품(Optics)'],"A head-mounted display (HMD) for improved field of view (FOV) is provided. The head-mounted display (HMD) may include a display element to provide display light. The head-mounted display (HMD) may also include a lens element to provide display light to a user of the head-mounted display (HMD). The head-mounted display (HMD) may further include an optical element comprising at least one waveguide to provide improved central or peripheral field of view (FOV) for the user of head-mounted display (HMD). In some examples, the waveguide may be part of central optics and/or peripheral optics. The waveguide may have a planar waveguide profile or a curved waveguide profile. In some examples, the waveguide may be stacked or may include a graded index (GRIN) layer.",764,1.7,WO2022232236,22724537
30,EP,ARTIFICIAL REALITY SYSTEM WITH VARIFOCAL DISPLAY OF ARTIFICIAL REALITY CONTENT,B1,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2020-11-01,2020,11,2026-06-17,2026,2054,5년 초과,0,추출불가,G02B27/01|G02B30/52|G02B27/00,"['G02B', 'G02B', 'G02B']",3,G02B27/0172|G02B2027/0138|G02B2027/014|G02B30/52|G02B27/0093|G06T19/006|G06V40/19|G06T2207/10028|G06T5/70|G06T17/20,10,['광학부품(Optics)'],"The disclosure describes artificial reality systems and techniques for providing artificial reality content to a user. For example, an artificial reality system includes a head-mounted display (HMD) configured to output artificial reality content, the HMD including a set of second image capture devices configured to capture image data indicative of a focal point of a gaze of the user and a varifocal display having a focal length that is modifiable based on the focal point of the user. Additionally, the system includes a depth engine configured to generate, based on the real-world image data and depth data associated with the real-world image data, a three-dimensional (3D) scene of the physical environment of the user and generate artificial reality content as an overlay to the 3D scene of the physical environment for display on the varifocal display of the HMD based on the focal point of the user.",910,5.1,WO2021133465,20811921.4
